setting_1,setting_2,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21,s_2_rolling_mean,s_3_rolling_mean,s_4_rolling_mean,s_6_rolling_mean,s_7_rolling_mean,s_8_rolling_mean,s_9_rolling_mean,s_11_rolling_mean,s_12_rolling_mean,s_13_rolling_mean,s_14_rolling_mean,s_15_rolling_mean,s_17_rolling_mean,s_20_rolling_mean,s_21_rolling_mean,s_2_rolling_std,s_3_rolling_std,s_4_rolling_std,s_6_rolling_std,s_7_rolling_std,s_8_rolling_std,s_9_rolling_std,s_11_rolling_std,s_12_rolling_std,s_13_rolling_std,s_14_rolling_std,s_15_rolling_std,s_17_rolling_std,s_20_rolling_std,s_21_rolling_std
-0.005,0.0003,642.04,1589.91,1406.63,21.61,553.78,2388.1,9060.49,47.53,522.09,2388.04,8134.78,8.4455,391,38.87,23.3365,642.04,1589.91,1406.63,21.61,553.78,2388.1,9060.49,47.53,522.09,2388.04,8134.78,8.4455,391.0,38.87,23.3365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0023,0.0002,642.65,1586.25,1407.88,21.61,553.7,2388.09,9064.32,47.39,522.07,2388.07,8140.37,8.4573,392,38.91,23.3452,642.345,1588.08,1407.255,21.61,553.74,2388.0950000000003,9062.404999999999,47.46,522.08,2388.0550000000003,8137.575,8.4514,391.5,38.89,23.34085,0.43133513652376343,2.5880108191427413,0.8838834764831844,0.0,0.05656854249487235,0.007071067811859044,2.708218971945069,0.09899494936611705,0.014142135623718088,0.021213203435577133,3.9527269068329036,0.008343860018001912,0.7071067811865476,0.028284271247458786,0.006151828996321187
-0.0005,0.0005,642.55,1586.42,1396.4,21.61,553.28,2388.11,9058.66,47.39,521.07,2388.06,8139.75,8.4522,394,39.04,23.361,642.4133333333333,1587.5266666666666,1403.6366666666665,21.61,553.5866666666667,2388.1,9061.156666666668,47.43666666666667,521.7433333333333,2388.056666666667,8138.3,8.451666666666666,392.3333333333333,38.94,23.347566666666665,0.3271594921950364,2.0657766900933687,6.298224617567515,0.0,0.26857649437981407,0.009999999999877218,2.8882924597991098,0.08082903768654794,0.5832095106677427,0.015275252316468362,3.0641311982355357,0.00591805148113285,1.5275252316519545,0.08888194417315559,0.012420279116563676
-0.0001,-0.0,642.41,1594.89,1404.86,21.61,554.25,2388.04,9056.54,47.59,521.68,2388.04,8144.12,8.4403,392,38.77,23.4206,642.4124999999999,1589.3675,1403.9425,21.61,553.7525,2388.085,9060.0025,47.475,521.7275,2388.0525,8139.755,8.448825,392.25,38.8975,23.365825,0.2671298061492211,4.049645046173821,5.178728125708081,0.0,0.3976074278313474,0.03109126351038966,3.299983585816863,0.10115993936995797,0.4772403307908056,0.015000000000045307,3.8376251336817733,0.00745983690617045,1.2583057392117973,0.11176612486199149,0.03789866972159693
0.0024,0.0002,643.41,1590.49,1409.58,21.61,553.5,2388.04,9058.47,47.24,521.47,2388.12,8139.21,8.3971,392,39.04,23.3311,642.612,1589.592,1405.0700000000002,21.61,553.702,2388.076,9059.696,47.428000000000004,521.676,2388.066,8139.645999999999,8.43848,392.2,38.926,23.35888,0.5025136814057928,3.542840668164473,5.144968415840802,0.0,0.3623810149552508,0.03361547262802764,2.9388994538763757,0.13682105101189762,0.42904545213762457,0.03286335345016016,3.332406037685009,0.024017327078590424,1.0954451150103368,0.11588787684654317,0.0363097369861037
0.0005,-0.0002,642.75,1589.51,1414.62,21.61,553.59,2388.05,9055.33,47.37,521.38,2388.04,8142.92,8.4121,391,38.93,23.4274,642.754,1589.5120000000002,1406.6680000000001,21.61,553.664,2388.066,9058.664,47.396,521.534,2388.0660000000003,8141.274,8.431799999999999,392.2,38.938,23.37706,0.3876596445337038,3.5383781595527757,6.7432128840781935,0.0,0.3621187650481502,0.032093613071892645,3.451627152516769,0.1252198067399903,0.37138928363637447,0.03286335345016016,2.1335955568009504,0.026128719830868136,1.0954451150103368,0.1116691542011463,0.04420167417643846
0.0013,-0.0003,642.5,1587.88,1402.18,21.61,554.22,2388.0,9057.29,47.72,521.64,2388.05,8135.4,8.4458,391,38.89,23.3179,642.7239999999999,1589.8380000000002,1405.5279999999998,21.61,553.768,2388.048,9057.258,47.462,521.4480000000001,2388.062,8140.279999999999,8.4295,392.0,38.934,23.371599999999997,0.403212102992941,3.2238129598349916,6.965250892824932,0.0,0.44110089548764464,0.03962322551255731,1.3845829697014882,0.19097120201747705,0.2442744358296602,0.03346640106124709,3.426200519525847,0.023717820304572815,1.2247448713915934,0.11326958991715029,0.05037593671585625
0.0012,-0.0002,642.34,1592.6,1402.26,21.61,554.0,2388.07,9057.96,47.13,522.2,2388.07,8141.11,8.3977,392,38.85,23.407,642.682,1591.074,1406.7,21.61,553.912,2388.04,9057.117999999999,47.410000000000004,521.674,2388.064,8140.551999999999,8.418600000000001,391.6,38.896,23.3808,0.43551119388595483,2.733098973692751,5.351411028878104,0.0,0.35009998571832984,0.02549509756835321,1.2346537976235454,0.24361855430159687,0.31855925665409307,0.033615472627809784,3.4275895320180747,0.023195042573792197,0.5477225575051733,0.09989994994993692,0.05212614507135503
0.0041,-0.0001,642.76,1582.13,1391.57,21.61,554.0,2388.03,9058.47,47.42,521.43,2388.07,8146.68,8.4121,391,39.09,23.3476,642.7520000000001,1588.5220000000002,1404.042,21.61,553.8620000000001,2388.038,9057.503999999999,47.376,521.624,2388.0699999999997,8141.064,8.412960000000002,391.4,38.96,23.3662,0.4081298812877846,3.960715844389643,8.728643651793776,0.0,0.30466374907425386,0.02588435821149426,1.3082736716713381,0.22322634253152115,0.33649665674416923,0.030822070014594003,4.1983484848215396,0.019775944983743493,0.5477225575051733,0.10148891565091804,0.04827250770366047
-0.0006,0.0003,641.98,1593.4,1408.72,21.61,553.78,2388.11,9054.31,47.45,521.83,2388.04,8138.66,8.4532,394,38.82,23.3865,642.466,1589.104,1403.87,21.61,553.918,2388.0520000000006,9056.672,47.418,521.696,2388.054,8140.954,8.424180000000002,391.8,38.916000000000004,23.377280000000003,0.3241604540963826,4.499369955893746,8.599755810486725,0.0,0.24045789652239033,0.041472882706871286,1.7786005734801256,0.21064187617850302,0.3338113239541511,0.015165750888522846,4.26573323122806,0.023992853102538857,1.3038404810405282,0.10573551910309155,0.044404920898476724
